2018-11-20 05:17:14,843 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:173 state:20 tract:009302'}, will retry shortly
2018-11-20 05:22:21,926 - WARNING - received error fetching 2010 sf1 data {'in': 'county:199 state:21 tract:931102', 'for': 'block group:*'}, will retry shortly
2018-11-20 05:22:26,229 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:031 state:17 tract:831700'}, will retry shortly
2018-11-20 05:23:36,808 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:019 state:22 tract:000400'}, will retry shortly
2018-11-20 05:24:17,058 - WARNING - received error fetching 2010 sf1 data {'in': 'county:017 state:22 tract:024601', 'for': 'block group:*'}, will retry shortly
2018-11-20 05:27:21,114 - WARNING - received error fetching 2010 sf1 data {'in': 'county:095 state:22 tract:070900', 'for': 'block group:*'}, will retry shortly
2018-11-20 05:27:26,260 - WARNING - received error fetching 2010 sf1 data {'in': 'county:099 state:22 tract:020302', 'for': 'block group:*'}, will retry shortly
2018-11-20 05:27:33,566 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:019 state:22 tract:002300'}, will retry shortly
2018-11-20 05:28:08,623 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:031 state:17 tract:842800'}, will retry shortly
2018-11-20 05:28:26,849 - WARNING - received error fetching 2010 sf1 data {'in': 'county:103 state:22 tract:040605', 'for': 'block group:*'}, will retry shortly
2018-11-20 05:29:15,475 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:071 state:22 tract:012500'}, will retry shortly
2018-11-20 05:31:03,413 - WARNING - received error fetching 2015 acs5 data {'for': 'block group:*', 'in': 'county:019 state:22 tract:001300'}, will retry shortly
2018-11-20 05:31:03,414 - WARNING - received error fetching 2010 sf1 data {'in': 'county:025 state:23 tract:966300', 'for': 'block group:*'}, will retry shortly
2018-11-20 05:31:03,414 - WARNING - received error fetching 2012 acs5 data {'in': 'county:023 state:23 tract:970400', 'for': 'block group:*'}, will retry shortly
2018-11-20 05:31:03,416 - WARNING - received error fetching 2010 sf1 data {'in': 'county:019 state:23 tract:022500', 'for': 'block group:*'}, will retry shortly
2018-11-20 05:31:03,416 - WARNING - received error fetching 2015 acs5 data {'in': 'county:021 state:23 tract:960301', 'for': 'block group:*'}, will retry shortly
2018-11-20 05:31:03,418 - WARNING - received error fetching 2010 sf1 data {'in': 'county:027 state:23 tract:046001', 'for': 'block group:*'}, will retry shortly
2018-11-20 05:36:12,047 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:031 state:17 tract:842800'}, will retry shortly
